Singularidad Inicial,Alcanza 500 de masa cósmica,200
Event Horizon,Sobrevive 2 minutos cerca de un agujero negro,300
Caníbal Estelar,Absorbe 10 jugadores pequeños,400
Núcleo Galáctico,Consume 100 partículas de materia oscura,250
Colapso Gravitatorio,Destruye un planeta de tamaño medio,600
Espaguetificación,Esquiva ser absorbido 5 veces por agujeros negros,350
Nebulosa Voraz,Mantén tu masa por encima de 1k durante 3 minutos,500
Púlsar Veloz,Muévete a velocidad máxima durante 30 segs,450
Agujero de Gusano,Atraviesa un portal espacial sin morir,800
Supernova Controlada,Explota absorbiendo 20 fragmentos estelares,700
Cazador de Cometas,Destruye 15 cuerpos celestes pequeños,300
Gigante Rojo,Alcanza 5,000 de masa estelar,1200
Materia Oscura,Absorbe 50 partículas en 1 minuto,550
Órbita Perfecta,Rodea un agujero negro 3 veces sin ser absorbido,900
Nova Estelar,Recupera tu masa desde menos de 100 unidades,400
Galaxia Caníbal,Absorbe 5 jugadores en 30 segundos,1000
Disco de Acreción,Absorbe masa continuamente durante 1 minuto,750
Cinturón de Asteroides,Destruye 30 asteroides en una partida,600
Agujero Negro Primordial,Alcanza 10,000 de masa cósmica,2000
Eclipse Cuántico,Esconde tu posición durante 45 segundos,650
Perturbación Estelar,Altera la trayectoria de 10 objetos espaciales,500
Nebulosa Protoplanetaria,Genera 3 nuevos satélites naturales,850
Colisión Cósmica,Fusiona tu masa con otro agujero negro,1500
Viajero Interestelar,Recorre 100,000 unidades espaciales,950
Anillo de Einstein,Forma un anillo de luz perfecto alrededor de tu masa,1300
Expansión Acelerada,Dobla tu tamaño 3 veces en 15 segundos,1100
Cazador de Planetas,Destruye 3 planetas gigantes,1800
Horizonte de Sucesos,Permanece en zona de alta gravedad 5 mins,1400
Núcleo de Hierro,Supervive a una explosión de supernova cercana,1600
Triturador Estelar,Absorbe 1,000 jugadores en total,5000
